"Type"|"Name"|"Status"|"Risk Ranking"|"Affected Entity"|"Deficiency"|"Details or Resolution Options"
"Possible Cause"|"Alarm, public-address, paging, radio, or other emergency-communication system stops working."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Compressor cooling inadequate. [UPDATE - SYSTEM SPECIFIC]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"In the facility's ammonia-refrigeration system, this might be caused by [UPDATE BASED ON COMPRESSORS TYPES AND COOLING METHODS]
* for the water-cooled reciprocating compressors
- clogging or scaling in the cooling heads or their tubing,
- water supply inadequate,
- water temperature too high,
* for the ammonia-refrigerant cooled reciprocating compressors
- ammonia supply inadequate,
- stop valve closed,
- strainer clogged,
- liquid-supply solenoid valve problem causing inadequate flow,
- thermostatic expansion valve problem causing inadequate flow,
- clogging or oil-buildup in the cooling heads or their tubing, or
- suction regulator problem causing inadequate flow or too much back pressure,
* for the liquid-injection cooled screw compressors, on the ammonia-refrigerant piping for oil cooling
- ammonia supply inadequate,
- liquid-supply solenoid fails shut,
- stop valve closed,
- strainer clogged,
- thermostatic expansion valve, motorized valve, or pump problem [IF APPLICABLE],
* for the thermosiphon cooled screw compressors, on the ammonia-refrigerant piping for oil cooling
- ammonia supply inadequate,
- oil accumulation on ammonia side of oil-cooling heat exchanger,
- stop valve closed,
* for all compressors, oil-circulation problems.
* Oil circulation problems may result from a:
- filter gasket failure,
- filter clogged,
- float problem in oil-return piping from an oil separator (typically for reciprocating compressors),
- oil leak,
- oil control valve problem,
- oil feed valve closed accidentally,
- oil pressure control not set properly, or
- oil pump problem, on a screw compressor, while it is starting."
"Possible Cause"|"Compressor starved -- little or no inlet-gas flow and low-suction pressure shutoff does not work."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Concrete cracking, creep, efflorescence, sagging, or spalling."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Nothing has been recorded in this field.]"
"Possible Cause"|"Condensation"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Moisture condenses onto surfaces when they are below the dew point of the air that touches them, for example,
* relief vent or other piping open to the atmosphere is partly located in spaces with temperatures below the dew point at the piping's atmospheric outlet,
* hot-gas and defrost-return piping that cools below the dew point when no gas is flowing (no defrosting occurring),
* supports of cold vessels in warm rooms (unless insulated),
* receivers, high-pressure and thermosiphon, if they are in rooms that are warmer that the condensing temperature of the condensers that feed them (so refrigerant is evaporating in these receivers, cooling them),
* walls of vessels and piping, including level columns, near the liquid level, if they contain liquid below the dew point of the air near their exteriors."
"Possible Cause"|"Control valve allows too little or no flow, including expansion, gas-powered, motorized, and solenoid valves and regulators."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Includes,
- hand-expansion valve opened too few turns,
- hot-gas supply to gas-powered valves inadequate or controls problem (not applicable to the facility),
- motor or motor-control problem,
- orifice, for minimum flow, plugged or too small,
- solenoid coil problem on spring-closed (solenoid opened) regulators or valves,
- relief regulator or valve -- for hydrostatic or liquid pressure relief -- allows inadequate flow or opens at a pressure that is too high,
- regulator or solenoid valve pilot tube or passage clogged or other problem,
- thermostatic-expansion valve bulb, tubing, or mechanical problem,
- and so forth."
"Possible Cause"|"Control valve allows too much flow or remains fully open -- but not including shocks from expansion valves too far open."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Includes,
- hand-expansion valve opened too many turns,
- gas-powered valves controls problem or rapid leak-by pilot hot-gas solenoid (not applicable to the facility),
- leak by valve-seat seal,
- motor or motor-control problem, on motorized valves,
- spring problem with spring-closed regulators or valves, like solenoid valves and many pressure regulators,
- thermostatic-expansion valve bulb, tubing, or mechanical problem,
- and so forth."
"Possible Cause"|"Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Controls do not account for human factors."
"Possible Cause"|"Cooling-water treatment or spray patterns for evaporative condensers is inadequate."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Includes anything that causes 
* evaporative-condenser coil corrosion or erosion, such as
- water corrosive to coil exterior surface, typically galvanized or stainless steel,
- spray-nozzle problem causing water impingement to erode galvanized finish on coil,
* reduced heat transfer, such as
- biofilm growth, like slimy coatings on coils,
- scale on coils,
- uneven water distribution and inadequate water flow over portions of the coil."
"Possible Cause"|"Corroding, cracking, deteriorating, flexing, stretching, warping, or wear."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, due to
* insulation or paint problem,
* rubbing by something loose,
* fluid impingement,
* galvanic corrosion, such as
- a smaller amount of carbon steel (less noble) in electrical contact (attached without an insulator in between) to a larger amount of stainless steel (more noble)."
"Possible Cause"|"Corrosive materials in vicinity."|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, 
* corrosive materials are mixed, stored, transferred, or used nearby or
* cleaning or sanitizing with corrosive materials.
"
"Possible Cause"|"Defrost, hot gas, time for pump down, soft gas, defrost, equalization (bleed), or freeze on (rechill) is unsafely reduced. [OK?]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"For example, for faster production or to keep temperatures adequately low in product or room air."
"Possible Cause"|"Defrost, hot gas, timing is unsafe normally, at the start or end of a power outage or blip, when loads are low, etc. [OK?]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"[Not applicable]"|"Some examples are below.
* An ammonia-refrigerant suction control valve rapidly opens (or regulates at a lower pressure) at the start of a power outage,
- if the evaporator was defrosting and filled with hot gas and some liquid (that condensed during defrosting) when the power fails,
> the hot gas, possibly mixed with liquid, may cause shocks in the downstream suction piping, including from vapor-propelled liquid slugs.
* An ammonia-refrigerant hot-gas or liquid solenoid valve opens before adequate pump down, either normally, when power is restored after an outage or blip, or when loads are low. In these cases, vapor-propelled liquid slugs or condensation-induced shocks may occur if:
- liquid enters a coil or piping that is mostly filled with hot gas, due to controls shortcoming or human error, such as defrosting before a power outage or blip and the controls immediately start cooling when the power outage or blip ends,
- hot gas enters a coil or piping that is partly filled with liquid, due to controls shortcoming, human error, or low loads.
* See the U.S. Chemical Safety and Hazard Investigation Board (CSB) report and safety bulletin on the
- 2010 ammonia leak, at the Millard Refrigerated Services, Theodore, Alabama, for example
- CSB, January 2015, Hydraulic Shock Safety Bulletin, Key Lessons for Preventing Hydraulic Shock in Industrial Refrigeration Systems.
* Low loads may cause liquid in a coil and piping to evaporate slower than expected, so that
- a pre-set pump-down time is not long enough, leading to
> hot gas entering a coil and piping that are partly filled with liquid.
* Low loads may be caused by:
- higher humidity in the cooled room, thicker frost layers on the coil, and so less heat transfer,
- cold air entering the cooled room,
- less heat generated in or entering the cooled room,
- and so forth."
