"Subsystem"|"Scenario"|"Name (what-if...)"|"Type"|"Severity with existing safeguards in place"|"Likelihood of this severity with existing safeguards in place"|"Risk Ranking"|"Possible Causes"|"Possible Consequences"|"Existing Safeguards"|"Recommended Actions"
"A1. Equipment and piping in general"|"1"|"Brittle fracture of equipment (includes vessels) or piping (includes valves) risks are too high."|"Prior incident anywhere"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Force or impact too strong
(3) Human error or poor judgment.
(4) Inspection, testing, or maintenance (ITM) shortcoming or error.
(5) Loads added without properly evaluating.
(6) Shocks or vibrations cause damage.
(7) Vessel or piping temperature is below its minimum design metal temperature (MDMT)."|"(1) Equipment or piping becomes more susceptible to external physical damage.
(2) Explosion or fire more likely.
(3) Hinders safety, security, health, or environmental protection.
(4) Human errors become more likely or more severe.
(5) Severity increases, such as injuries or fatalities more likely due to leak, fire, explosion, weak condition, or unusual load."|"(1) Change management is adequate.
(2) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(3) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(4) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(5) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(6) Safety and improvements ideas are encouraged and assessed through informal talking, routine meetings, and suggestion systems.
(7) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(8) Temperatures of equipment and piping are kept above their minimum design metal temperature (MDMT).
(9) Vehicle or heavy cart traffic unlikely to damage ammonia-refrigeration equipment, piping, or supports."|""
"A1. Equipment and piping in general"|"2"|"Electrical loose connection, overloading, or similar causes higher temperature, especially for larger motors and loads."|"Prior incident anywhere"|"Nuisance on-site"|"20% to 90% per year (every couple-few years)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Corrosive materials in vicinity.
(3) Design, fabrication, construction, or installation shortcoming or error.
(4) Human error or poor judgment.
(5) Inspection, testing, or maintenance (ITM) shortcoming or error.
(6) Policies or programs -- for contractors, human resources, safety, or training -- are inadequately designed or implemented.
(7) Temperature or humidity changes within or moderately outside of typically expected ranges."|"(1) Explosion or fire more likely.
(2) Hinders emergency actions -- communications, move-to-safety, headcount, closing valves in/from safe locations, and so forth.
(3) Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth.
(4) Hinders maintenance or increases the need for repairs.
(5) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(6) Hinders safety, security, health, or environmental protection."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(3) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(4) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(5) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(6) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(7) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout."|""
"A1. Equipment and piping in general"|"3"|"Equipment design pressure, such as a 150 PSI, is less than its internal ammonia-refrigerant pressure in hot weather."|"Prior incident anywhere"|"Room evacuation or off-site nuisance"|"2% to 5% per year (every 20 to 50 years or so)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Control valve allows too little or no flow, including expansion, gas-powered, motorized, and solenoid valves and regulators.
(2) Control valve allows too much flow or remains fully open -- but not including shocks from expansion valves too far open.
(3) Design, fabrication, construction, or installation shortcoming or error.
(4) Inspection, testing, or maintenance (ITM) shortcoming or error.
(5) Temperature or humidity changes within or moderately outside of typically expected ranges."|"(1) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(2) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(3) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(4) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(5) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(6) Leak of ammonia that will probably cause strong odors or worse offsite.
(7) Overpressure in equipment or piping."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Air-cooling equipment and piping are adequately built, controlled, located, inspected, tested, and maintained.
(3) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(4) Change management is adequate.
(5) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(6) Condensers, evaporative, and their water treatment are adequately built, controlled, located, inspected, tested, and maintained.
(7) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(8) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(9) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(10) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(11) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(12) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(13) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(14) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(15) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(16) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(17) Purging non-condensable gases is done effectively.
(18) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(19) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(20) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(21) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"A1. Equipment and piping in general"|"4"|"Instrumentation or its connection, leaks out into building or outside"|"Prior incident anywhere"|"Room evacuation or off-site nuisance"|"2% to 5% per year (every 20 to 50 years or so)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Force or impact too strong
(3) Human error or poor judgment.
(4) Inspection, testing, or maintenance (ITM) shortcoming or error.
(5) Joint, bolted, problem.
(6) Joint, threaded, problem.
(7) Temperature or humidity changes within or moderately outside of typically expected ranges."|"(1) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(2) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(3) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(4) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(5) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(6) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation."|"(1) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(2) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(3) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(4) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(5) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(6) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(7) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(8) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout."|""
"A1. Equipment and piping in general"|"5"|"Labels, markings, or tags do not easily identify equipment (includes vessels) or piping (includes valves)."|"Prior incident anywhere and human factors"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Design, fabrication, construction, or installation shortcoming or error.
(3) Inspection, testing, or maintenance (ITM) shortcoming or error."|"(1) Hinders emergency actions -- communications, move-to-safety, headcount, closing valves in/from safe locations, and so forth.
(2) Hinders emergency response -- firefighting, entry into unsafe places for rescue, stopping leaks, and so forth.
(3) Hinders maintenance or increases the need for repairs.
(4) Hinders operations. [UPDATE - SYSTEM SPECIFIC]
(5) Hinders safety, security, health, or environmental protection.
(6) Human errors become more likely or more severe.
(7) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(8) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(9) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(10) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(11) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(12) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(13) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(14) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(4) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(5) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(6) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(7) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(8) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(9) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(12) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(13) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(14) Safety, training, contractor, and human-resources policies and programs are adequate, including for process safety.
(15) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
"A1. Equipment and piping in general"|"6"|"Liquid ammonia is trapped in piping or a small vessel or heat exchanger, such as an oil pot or a compressor-oil cooler."|"Prior incident anywhere"|"Injury on-site (needing treatment beyond first aid) or small off-site evacuation/shelter-in-place"|"Very unlikely (less than every 50 years)"|"05. Attention needed -- if any recommended actions, review status at least quarterly."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Human error or poor judgment.
(3) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth.
(4) Stop valve closed without proper pump-out or manual opening of control valves."|"(1) Explosion or fire more likely.
(2) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(3) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(4) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(5) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(6) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(7) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(8) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation.
(9) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Change management is adequate.
(4) Condensers, evaporative, and their water treatment are adequately built, controlled, located, inspected, tested, and maintained.
(5) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(6) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(7) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(8) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(9) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(10) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(11) Labeling of equipment, pipes, and valves is adequate, inspected at least yearly, and maintained as needed.
(12) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(13) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(14) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(15) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(16) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout."|""
"A1. Equipment and piping in general"|"7"|"Liquid-ammonia flow, too little, to cooling equipment or a recirculator vessel."|"Prior incident anywhere"|"Nuisance on-site"|"20% to 90% per year (every couple-few years)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Control valve allows too little or no flow, including expansion, gas-powered, motorized, and solenoid valves and regulators.
(2) Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small.
(3) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(4) Design, fabrication, construction, or installation shortcoming or error.
(5) Filter or strainer clogged.
(6) Human error or poor judgment.
(7) Inspection, testing, or maintenance (ITM) shortcoming or error.
(8) Level signal wrong -- higher than actual, or float switch stuck in high position.
(9) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth.
(10) Procedure is confusing, ignored, misunderstood, or wrong.
(11) Shocks or vibrations cause damage."|"(1) Hinders operations. [UPDATE - SYSTEM SPECIFIC]"|"(1) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(2) Production monitoring and quality control.
(3) Pump safety shutoffs are adequate, for both ammonia and cooling-water pumps, including for their motors.
(4) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(5) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout."|""
"A1. Equipment and piping in general"|"8"|"Liquid-ammonia flow, too much, to cooling equipment without hot-gas defrost or to a recirculator vessel."|"Prior incident anywhere"|"Nuisance on-site"|"5% to 20% per year (every 5 to 20 years or so)"|"03. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Control valve allows too much flow or remains fully open -- but not including shocks from expansion valves too far open.
(2) Controls are confusing, cumbersome, difficult, or inadequate -- such as too dim, exposed, loud, quiet, sensitive, or small.
(3) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(4) Design, fabrication, construction, or installation shortcoming or error.
(5) Human error or poor judgment.
(6) Inspection, testing, or maintenance (ITM) shortcoming or error.
(7) Level signal wrong -- lower than actual, or float switch stuck in low position.
(8) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth.
(9) Procedure is confusing, ignored, misunderstood, or wrong.
(10) Shocks or vibrations cause damage.
(11) Spring problem.
(12) Valve-seat seal failure (seat-gasket degraded, debris on seat, not tight enough, etc.)"|"(1) Hinders operations. [UPDATE - SYSTEM SPECIFIC]"|"(1) Change management is adequate.
(2) Compressor controls and safety shutoffs are adequate, including for their motors and the vessel(s) that feed the compressors.
(3) Controls automate ammonia-refrigeration operations adequately, considering procedures, staffing, and training.
(4) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(5) Replacement parts for the ammonia-refrigeration system, including controls, electrical, and motors, are fit for their service.
(6) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout.
(7) Transfer system and its piping are adequately built, controlled, located, inspected, tested, and maintained."|""
"A1. Equipment and piping in general"|"9"|"Piping joint, bolted or threaded, problem -- with bolts, flanges, gaskets, nuts, threaded couplings, unions, and so forth."|"Prior incident anywhere"|"Nuisance on-site"|"5% to 20% per year (every 5 to 20 years or so)"|"03. Lower priority -- track any recommended actions on action register and resolve if convenient."|"(1) Corroding, cracking, deteriorating, flexing, stretching, warping, or wear.
(2) Defrost, hot gas, time for pump down, soft gas, defrost, equalization (bleed), or freeze on (rechill) is unsafely reduced. [OK?]
(3) Defrost, hot gas, timing is unsafe normally, at the start or end of a power outage or blip, when loads are low, etc. [OK?]
(4) Design, fabrication, construction, or installation shortcoming or error.
(5) Expansion valve open too much, shock each time solenoid valve opens.
(6) Fasteners, hangers, rods, or other support components -- loose or missing.
(7) Force or impact too strong
(8) Foundations move due to settling, shifting, earthquake, landslide, soil liquefaction, and so forth.
(9) Human error or poor judgment.
(10) Ice, frost, snow, or other-frozen-water buildup in or on equipment, floor, piping, roofs, or supports.
(11) Inspection, testing, or maintenance (ITM) shortcoming or error.
(12) Joint, bolted, problem.
(13) Joint, threaded, problem.
(14) Liquid accumulation in hot-gas piping.
(15) Loads added without properly evaluating.
(16) Roof, piping, or other leak causes damage.
(17) Shocks or vibrations cause damage.
(18) Stop valve closed without proper pump-out or manual opening of control valves.
(19) Supports for piping or equipment inadequate, so normal vibrations are amplified into swaying, and so forth.
(20) Temperature or humidity changes within or moderately outside of typically expected ranges.
(21) Wrong substance or concentration added or used."|"(1) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(2) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(3) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(4) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(5) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(6) Leak of ammonia enters a room (Case D) with ammonia-in-air sensors but little-or-no ventilation.
(7) Leak of ammonia enters a room (Case E) with no ammonia-in-air sensors and little-or-no ventilation."|"(1) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(2) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(3) Defrost, hot gas, is built and controlled adequately to handle a reasonable range of circumstances. [OK?]
(4) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(5) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(6) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(7) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(8) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(9) Refrigerating-machinery room and its safety systems are adequately built, controlled, located, inspected, tested, and maintained
(10) Safe-work practices, including for confined spaces, electrical, hot work, lifts and vehicles, mechanical, and lockout-tagout."|""
"A1. Equipment and piping in general"|"10"|"Pressure-relief device discharges below set pressure: slow leak-by seat to fails fully open, possibly after a pressure spike."|"Prior incident anywhere"|"Room evacuation or off-site nuisance"|"2% to 5% per year (every 20 to 50 years or so)"|"04. Attention needed -- if any recommended actions, review status at least twice per year."|"(1) Design, fabrication, construction, or installation shortcoming or error.
(2) Inspection, testing, or maintenance (ITM) shortcoming or error.
(3) Mechanical jam or plugging -- moving part stuck, pilot tube or orifice plugged, and so forth.
(4) Spring problem.
(5) Valve-seat seal failure (seat-gasket degraded, debris on seat, not tight enough, etc.)
(6) Willful misconduct."|"(1) Leak of ammonia contaminates the air above a roof but is unlikely to cause significant odors offsite.
(2) Leak of ammonia contaminates the air near ground level but is unlikely to cause significant odors offsite.
(3) Leak of ammonia enters a room (Case A) with ammonia-in-air sensors, audio-visual alarms, and normal and emergency ventilation.
(4) Leak of ammonia enters a room (Case B) with ammonia-in-air sensors and only normal ventilation.
(5) Leak of ammonia enters a room (Case C) with no ammonia-in-air sensors and normal ventilation.
(6) Leak of ammonia that will probably cause strong odors or worse offsite."|"(1) Access is adequate to ammonia-refrigeration equipment and piping.
(2) Ammonia has good warning properties, unlike, for example, propane or halocarbon refrigerants.
(3) Condensers, evaporative, and their water treatment are adequately built, controlled, located, inspected, tested, and maintained.
(4) Controls and electrical systems for ammonia refrigeration are adequately built, located, inspected, tested, and maintained.
(5) Emergency-action plan, equipment, and training, for employees and contractors, is adequate and increases awareness.
(6) Emergency-response capabilities and coordination are adequate, considering off-site populations and potential incidents.
(7) Equipment and piping -- including valves, vessels, and supports -- are all suitable for their ammonia-refrigeration service.
(8) Fire-safety systems and means of egress are adequately built, located, inspected, tested, and maintained.
(9) Inspection, testing, and maintenance (ITM) of the ammonia-refrigeration system and its safety systems are adequate.
(10) Leak detection includes ammonia-in-air sensors that trigger alarms and other actions.
(11) Open flames and over 800 F surfaces, reasonable separation from where an ammonia leak may cause a flammable atmosphere.
(12) Pressure-relief systems are adequately built, located, inspected, tested, and maintained.
(13) Valves are present where needed for maintenance and leak mitigation, with adequate backup and access."|""
